date,quarter,fbcf_constr_share,fbcf_constr_yoy,fbcf_maq_nac_share,fbcf_maq_nac_yoy,fbcf_maq_imp_share,fbcf_maq_imp_yoy,fbcf_transport_share,fbcf_transport_yoy
2022Q4,Q4 2022,34.930194715848174,-3.228214863362211,26.09324535137994,4.029888636904677,28.41980630865765,-1.5808468900935901,10.556753624114243,6.142308087374104
2023Q1,Q1 2023,35.70878729332765,-0.7380546903208107,25.184435617921856,14.936884113532711,28.584221448264547,-15.251918569703927,10.52255564048596,18.428880800741098
2023Q2,Q2 2023,32.444841691864326,-2.7284114423673067,28.350048322176534,6.377541851223745,27.22425467148753,-10.100519648784335,11.98085531447161,17.780588779239494
2023Q3,Q3 2023,33.730317943562376,-2.7565917744346358,26.209781318836985,4.799308056207874,28.768896214780547,1.07512230546285,11.291004522820094,22.83831023545515
2023Q4,Q4 2023,36.98419216628298,-2.0477192537433964,26.823364663816584,-4.899110667053474,24.437261385171027,-20.451711032352303,11.755181784729416,3.0145063700608876
2024Q1,Q1 2024,35.24617173750635,-26.64743076141197,22.17762759224657,-34.557279934930875,31.56358589536929,-17.938689643238746,11.012614774877798,-22.22362544429901
2024Q2,Q2 2024,33.17041137389264,-31.07241402364278,28.163884171519964,-33.02285725211382,27.822067431750142,-31.09967497742947,10.843637022837244,-38.97960442767965
2024Q3,Q3 2024,31.646174776057023,-20.877537861611415,28.18695795128307,-9.304901669575838,26.770481016764048,-21.524881340934144,13.396386255895862,0.058522451699993816
2024Q4,Q4 2024,28.470664039294526,-17.428722952789165,27.527337916872863,10.077485933028596,28.518038806845958,25.174153566331547,15.48395923698665,41.286351934747564
2025Q1,Q1 2025,27.289246260244465,8.28334479895152,22.063386041274605,39.13588419994125,37.02961659196706,64.07595975698874,13.617751106513856,72.94062312495333
2025Q2,Q2 2025,26.48428464353198,15.090355520292187,25.64900968064639,31.274264671523454,32.467232592466694,68.2121709042379,15.399473083354934,104.70687650001796
2025Q3,Q3 2025,28.34516906377269,2.174634947618026,23.049483853591113,-6.717911190031689,33.584743839401156,43.11037863558096,15.020603243235048,27.90425107264376
