date,food_mom,food_yoy,alcohol_tobacco_mom,alcohol_tobacco_yoy,clothing_mom,clothing_yoy,housing_mom,housing_yoy,household_equipment_mom,household_equipment_yoy,health_mom,health_yoy,transport_mom,transport_yoy,communication_mom,communication_yoy,recreation_mom,recreation_yoy,education_mom,education_yoy,restaurants_mom,restaurants_yoy,misc_goods_mom,misc_goods_yoy
2024-02-01,11.898023739704788,303.8234418143811,17.672625792051157,253.21121002938355,7.226703532458001,204.21039424637465,20.21992277078988,201.46002716601862,10.327709841628273,304.288618721945,13.574698040764144,305.8377629528424,21.612286381305125,297.77709636754827,24.712652969064063,283.8215306619149,8.578353610364985,270.3964640959479,9.932430308530504,157.08429179221025,11.160883525558996,270.8747216823803,16.58728513089709,350.427814563452
2024-03-01,10.549974664036155,308.26978739452534,12.30611248029485,266.3267384148641,10.92480938855509,208.39438071712868,13.253794921283045,220.5316657449849,5.0293831338804385,301.3184896859517,12.210968646283572,330.75676052617916,12.966542296899819,326.700666440421,15.944605767396357,336.66390425417234,8.507181932208162,285.03702571502527,52.710235382161066,204.1343046665054,8.312999391278897,272.3762941412805,9.566429385996189,364.2043673197956
2024-04-01,6.017372686050804,292.95852148431874,5.487084482291227,272.3228797165487,9.629265866528037,205.0078935162313,35.6336715699481,311.62069405556076,6.499818025314719,293.4066282816744,9.13283003462093,341.07021139787366,6.256446982212993,325.9228029752526,14.168303361914703,369.13057554829106,7.141995003162127,283.59824630231986,8.591389035464081,214.4507534636785,7.287311127073082,263.5619963959967,5.6819747908974705,360.2340843867503
2024-05-01,4.847671450563551,289.3996371417482,6.682398226751252,266.2922714316171,3.547295953547236,193.40920209801448,2.5278571385486392,277.30339783640505,3.228309683479069,273.40233773770655,0.6861379983774007,307.25254797717764,3.9785964289567266,309.5493544773551,8.213079667024603,375.65329502162575,4.555655275053927,270.12173694428344,7.63963466421147,222.62302865561617,5.5476066423501,250.97068794985043,4.299767357063677,348.17503707555255
2024-06-01,3.005544424831519,285.12420664304085,2.0649033748353585,257.7354327229364,2.721428100323453,189.20535593101386,14.272327903171455,298.86690332458573,2.2860236331405437,253.6650834683335,4.745258634650407,292.79177013750495,3.929775964226656,299.6744071746067,5.31256822633972,353.42091902313626,5.615487227749916,267.17713067295017,5.735931866354771,220.09423331583102,6.276366140773981,250.90997920564524,2.7549819971115053,332.18056949327774
2024-07-01,3.2060804275465093,275.81832398819535,6.117022415582141,248.14558659646772,1.631616589836038,185.2473662529351,6.005496084723405,306.6187572064033,3.4534977799788313,244.66160500354425,5.84964636013372,281.32907064619855,2.609731563477702,289.50559057737723,3.540253368086743,318.54557325182446,5.666618878723262,248.9346713689562,4.1933521675908025,214.24848651853333,6.46671968789887,247.69426441724863,3.4543734738871734,320.5430995431725
2024-08-01,3.6264048591670095,236.91876633905994,3.041484796853089,230.68798574393034,2.0560325493601983,166.7270620847264,7.049129266843157,298.8419431639681,4.262944484959763,215.0519670090158,4.139194268281465,244.5234247088991,5.101058041440765,270.6244450416886,4.852748168121779,319.9973501686954,3.6791723513801333,224.20851504862455,6.568321548783618,208.16426000668926,4.8427728605966225,224.1857862961539,2.2731471386842284,293.2551297426388
2024-09-01,2.3038076514363404,201.43201010953624,2.198702383584661,202.97799110919902,6.04151158151498,144.4339470517626,7.307021857775831,294.6127865995493,2.6935796773653653,187.19483253501906,3.3347438900657833,225.00052515487866,3.4140365830270802,245.77589593498072,2.979618420383301,294.69816282816186,2.132146219229525,187.60079521843357,4.310675577226819,197.24641436904668,3.656296787857971,196.74363080662,3.342259921988955,263.89897955362255
2024-10-01,1.1999703973553988,183.2251622978837,2.9969343494420597,184.09694325061201,4.425303983734596,129.98593907509698,5.394502905323839,285.77817991868307,2.613263805809307,166.2291231719693,3.563168170592901,220.2256171528056,1.2171047817975955,226.833530385293,2.0599157009209668,257.6138795605257,2.864004300375078,170.6631442431842,3.4519737480717128,188.47336150532206,4.2606311415518405,184.40121195433701,2.807798529432848,247.47489077550858
2024-11-01,0.9067498855256373,147.08290861007848,3.9961865256872953,164.36405602864392,1.8948908785166418,113.01226209910399,4.463160848136938,276.39296148724264,1.5083364412655786,140.3339019771009,2.923150835456134,184.43978368881173,3.415209754482995,206.1861805557912,1.5384353804874351,215.18422279547883,3.011949661453972,146.32609617814614,5.111355499672432,179.95402414972816,3.6159490830821595,163.04235309870504,2.283460652466185,218.7116127275123
